index,x,y,z,yaw
359,-65.87821197509766,136.68052673339844,0.0,4.6951446533203125
360,-64.83916473388672,136.75343322753906,0.0,3.3321990966796875
361,-63.798675537109375,136.80160522460938,0.0,1.9692230224609375
362,-62.75733184814453,136.82501220703125,0.0,0.6062774658203125
363,-61.74959182739258,136.83164978027344,0.0,-359.64788818359375
364,-60.749610900878906,136.83778381347656,0.0,-359.64788818359375
365,-59.749629974365234,136.84393310546875,0.0,-359.64788818359375
366,-58.74964904785156,136.85008239746094,0.0,-359.64788818359375
367,-57.74966812133789,136.85623168945312,0.0,-359.64788818359375
368,-56.74968338012695,136.86236572265625,0.0,-359.64788818359375
369,-55.74970245361328,136.86851501464844,0.0,-359.64788818359375
370,-54.74972152709961,136.87466430664062,0.0,-359.64788818359375
371,-53.74974060058594,136.88079833984375,0.0,-359.64788818359375
372,-52.749759674072266,136.88694763183594,0.0,-359.64788818359375
373,-51.749778747558594,136.89309692382812,0.0,-359.64788818359375
374,-50.74979782104492,136.8992462158203,0.0,-359.64788818359375
375,-49.74981689453125,136.90538024902344,0.0,-359.64788818359375
376,-48.74983596801758,136.91152954101562,0.0,-359.64788818359375
377,-47.749855041503906,136.9176788330078,0.0,-359.64788818359375
378,-46.749874114990234,136.923828125,0.0,-359.64788818359375
379,-45.74989318847656,136.92996215820312,0.0,-359.64788818359375
380,-44.74991226196289,136.9361114501953,0.0,-359.64788818359375
381,-43.74993133544922,136.9422607421875,0.0,-359.64788818359375
382,-42.74995040893555,136.9484100341797,0.0,-359.64788818359375
383,-41.74996566772461,136.95455932617188,0.0,-359.64788818359375
384,-40.7499885559082,136.960693359375,0.0,-359.64788818359375
385,-39.750003814697266,136.9668426513672,0.0,-359.64788818359375
386,-38.750022888183594,136.97299194335938,0.0,-359.64788818359375
387,-37.75004196166992,136.97914123535156,0.0,-359.64788818359375
388,-36.75006103515625,136.9852752685547,0.0,-359.64788818359375
389,-35.75008010864258,136.99142456054688,0.0,-359.64788818359375
390,-34.75010299682617,136.99757385253906,0.0,-359.64788818359375
391,-33.750118255615234,137.00372314453125,0.0,-359.64788818359375
392,-32.75013732910156,137.00987243652344,0.0,-359.64788818359375
393,-31.750158309936523,137.01600646972656,0.0,-359.64788818359375
394,-30.75017738342285,137.02215576171875,0.0,-359.64788818359375
395,-29.750194549560547,137.02830505371094,0.0,-359.64788818359375
396,-28.56022071838379,137.03561401367188,0.0,0.3521270751953125
397,-28.56022071838379,137.03561401367188,0.0,0.3521270751953125
398,-27.560239791870117,137.04176330566406,0.0,0.3521270751953125
399,-26.560256958007812,137.0478973388672,0.0,0.3521270751953125
400,-25.56027603149414,137.05404663085938,0.0,0.3521270751953125
401,-24.56029510498047,137.06019592285156,0.0,0.3521270751953125
402,-23.560314178466797,137.06634521484375,0.0,0.3521270751953125
403,-22.560333251953125,137.07247924804688,0.0,0.3521270751953125
404,-21.560352325439453,137.07862854003906,0.0,0.3521270751953125
405,-20.56037139892578,137.08477783203125,0.0,0.3521270751953125
406,-19.56039047241211,137.09092712402344,0.0,0.3521270751953125
407,-18.560409545898438,137.09706115722656,0.0,0.3521270751953125
408,-17.560428619384766,137.10321044921875,0.0,0.3521270751953125
409,-16.56044578552246,137.10935974121094,0.0,0.3521270751953125
410,-15.560464859008789,137.11550903320312,0.0,0.3521270751953125
411,-14.560483932495117,137.12164306640625,0.0,0.3521270751953125
412,-13.560502052307129,137.12779235839844,0.0,0.3521270751953125
413,-12.560521125793457,137.13394165039062,0.0,0.3521270751953125
414,-11.560540199279785,137.1400909423828,0.0,0.3521270751953125
415,-10.560559272766113,137.14622497558594,0.0,0.3521270751953125
416,-9.560578346252441,137.15237426757812,0.0,0.3521270751953125
417,-8.560596466064453,137.1585235595703,0.0,0.3521270751953125
418,-7.560615062713623,137.1646728515625,0.0,0.3521270751953125
419,-6.560634136199951,137.17080688476562,0.0,0.3521270751953125
420,-5.560653209686279,137.1769561767578,0.0,0.3521270751953125
421,-4.560671806335449,137.18310546875,0.0,0.3521270751953125
422,-3.5606913566589355,137.1892547607422,0.0,0.3521270751953125
423,-2.5607101917266846,137.1953887939453,0.0,0.3521270751953125
424,-1.560728907585144,137.2015380859375,0.0,0.3521270751953125
425,-0.19075478613376617,137.2099609375,0.0,0.352119117975235
426,-0.19075478613376617,137.2099609375,0.0,0.352119117975235
427,0.8092262744903564,137.2161102294922,0.0,0.352119117975235
428,1.8076318502426147,137.2224578857422,0.0,0.40365833044052124
